lat,lon,name
55.8148,37.7342,Bulvar Rokossovskogo
55.8038,37.7448,Cherkizovskaya
55.7963,37.7151,Preobrazhenskaya Ploshchad
55.7888,37.6802,Sokolniki
55.7801,37.6673,Krasnoselskaya
55.7753,37.6562,Komsomolskaya (Sokolnicheskaya Line)
55.7690,37.6487,Krasnye Vorota
55.7657,37.6388,Chistye Prudy
55.7597,37.6272,Lubyanka
55.7577,37.6166,Okhotny Ryad
55.7512,37.6100,Biblioteka Imeni Lenina
55.7453,37.6037,Kropotkinskaya
55.7356,37.5943,Park Kultury (Sokolnicheskaya Line)
55.7267,37.5786,Frunzenskaya
55.7233,37.5639,Sportivnaya
55.7103,37.5592,Vorobyovy Gory
55.6926,37.5333,Universitet
55.6771,37.5060,Prospekt Vernadskogo
55.6637,37.4833,Yugo-Zapadnaya
55.6459,37.4725,Troparyovo
55.6330,37.4419,Rumyantsevo
55.6227,37.4240,Salaryevo
55.8549,37.4761,Rechnoy Vokzal
55.8398,37.4867,Vodny Stadion
55.8190,37.4980,Voykovskaya
55.8051,37.5153,Sokol
55.8003,37.5329,Aeroport
55.7897,37.5580,Dinamo
55.7767,37.5835,Belorusskaya (Zamoskvoretskaya Line)
55.7701,37.5958,Mayakovskaya
55.7647,37.6065,Tverskaya
55.7578,37.6190,Teatralnaya
55.7415,37.6295,Novokuznetskaya
55.7305,37.6377,Paveletskaya (Zamoskvoretskaya Line)
55.7074,37.6576,Avtozavodskaya (Moscow Metro)
55.6950,37.6641,Tekhnopark (Moscow Metro)
55.6785,37.6638,Kolomenskaya (Moscow Metro)
55.6551,37.6487,Kashirskaya
55.6358,37.6564,Kantemirovskaya
55.6214,37.6694,Tsaritsyno
55.6132,37.6949,Orekhovo
55.6108,37.7186,Domodedovskaya
55.6137,37.7444,Krasnogvardeyskaya
55.6326,37.7660,Alma-Atinskaya
55.8563,37.3544,Pyatnitskoye Shosse
55.8457,37.3622,Mitino
55.8354,37.3822,Volokolamskaya
55.8252,37.3852,Myakinino
55.8038,37.4031,Strogino
55.7567,37.4081,Krylatskoye
55.7408,37.4168,Molodyozhnaya
55.7307,37.4459,Kuntsevskaya
55.7296,37.4706,Slavyansky Bulvar
55.7362,37.5182,Park Pobedy
55.7442,37.5645,Kiyevskaya (Arbatsko-Pokrovskaya Line)
55.7474,37.5823,Smolenskaya (Arbatsko-Pokrovskaya Line)
55.7522,37.6061,Arbatskaya (Arbatsko-Pokrovskaya Line)
55.7566,37.6216,Ploshchad Revolyutsii
55.7576,37.6577,Kurskaya (Arbatsko-Pokrovskaya Line)
55.7730,37.6806,Baumanskaya
55.7817,37.7037,Elektrozavodskaya
55.7833,37.7208,Semyonovskaya
55.7886,37.7506,Partizanskaya
55.7878,37.7814,Izmaylovskaya
55.7948,37.7993,Pervomayskaya
55.8094,37.7986,Shchyolkovskaya
55.7307,37.4459,Kuntsevskaya
55.7360,37.4671,Pionerskaya
55.7396,37.4833,Filyovsky Park
55.7438,37.4977,Bagrationovskaya
55.7460,37.5150,Fili
55.7399,37.5344,Kutuzovskaya
55.7388,37.5483,Studencheskaya
55.7483,37.5339,Mezhdunarodnaya
55.7502,37.5408,Vystavochnaya
55.7436,37.5655,Kiyevskaya (Filyovskaya Line)
55.7488,37.5825,Smolenskaya (Filyovskaya Line)
55.7518,37.6007,Arbatskaya (Filyovskaya Line)
55.7525,37.6085,Aleksandrovsky Sad
55.7446,37.5644,Kiyevskaya (Koltsevaya Line)
55.7613,37.5774,Krasnopresnenskaya
55.7764,37.5844,Belorusskaya (Koltsevaya Line)
